
=== RESULTS WITH 'INFORMATION' INTENT ===
   id    |                                   title                                   |                                                                                                                                                 content_snippet                                                                                                                                                 |    similarity     |    match_type    
 md6p71v | Places to study AND avoid home?                                           | you could try one of the [SF Privately Owned Public Open Spaces](https://sfpopos.com/)                                                                                                                                                                                                                         +| 0.812552090718732 | basic
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | now many of those spaces are inside a building so they might be closed tomorrow as well but who knows maybe they aren't observing presidents day.   some of the ones i like are the LinkedIn lobby, 55 Second, Sa...                                                                                            |                   | 
 mdc4xk4 | Places to study AND avoid home?                                           | Don't know which part of SF you are in but SF has a great library network - you can just go in and read and most libraries should be fairly quiet (unlike many others that are literally children's play areas).  If you need absolute quiet, you can reserve a study room (https://sfpl.org/services/meetin... | 0.786952022626406 | location_boosted
 mdyieb4 | What are some unique bars/clubs to San Francisco? What makes them unique? | You can make a night out of bar hopping in north beach. Comstock, Vesuvio, Maggie Garry’s. You can grab a slice of pizza to soak it all up after.                                                                                                                                                              +| 0.768461484335975 | location_boosted
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | Worth noting I don’t love Maggie’s at night. But if you’re into the day drinking, they allow outside food. Grab some food and sit by their open window a...                                                                                                                                                     |                   | 
 mbs4r8p | Do people use the Dolores park pissoir                                    | San Francisco is truly a magical place.                                                                                                                                                                                                                                                                        +| 0.766896661067827 | location_boosted
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | I've been posting to [@bathrooms_of_sf](https://www.instagram.com/bathrooms_of_sf/) since 2015 and I'm still discovering amazing new relief stations 10 years later. 🚽❤️                                                                                                                                         |                   | 
(10 rows)


=== RESULTS WITH 'DISCOVERY' INTENT ===
   id    |                                   title                                   |                                                                                                                                                 content_snippet                                                                                                                                                 |    similarity     |    match_type    
---------+---------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------+------------------
 mceitnr | ISO other fellow millennial DINKs?                                        | Go to dog parks in the evening? If your dog is small, [https://www.yelp.com/biz/san-francisco-small-dog-beach-walk-san-francisco](https://www.yelp.com/biz/san-francisco-small-dog-beach-walk-san-francisco)                                                                                                    | 0.851101168661975 | basic
 md7f4f1 | Places to study AND avoid home?                                           | There are free museums and free garden days. Goldman Tennis Center is nice inside, and the library—although some are better than others—Ferry Plaza, hotel lobbies (just pretend you're a guest), the mall, and Metreon have some quiet spots. Salesforce Park is also nice and has an Andytown. The Columba... | 0.837422604868155 | basic
 mbr0pr9 | Do people use the Dolores park pissoir                                    | Fruit shelf, aka Gay Beach. Its where the gays all hang out. Its the hill in the corner of Church and 20th. The hill flattens out half way down like a shelf.                                                                                                                                                   | 0.819131945682074 | context_enhanced
 mdclmbr | Places to study AND avoid home?                                           | The privately owned public open spaces are great! There are a few that are indoors, too. I also love sitting in the Yerba Buena Gardens and Salesforce Park.                                                                                                                                                    | 0.801229929630796 | basic
 md6wwft | Places to study AND avoid home?                                           |                                                                                                                                                                                                                                                                                                                +|   0.7998672545431 | context_enhanced
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | The lobby at the Hyatt Regency at Embarcadero is great. I've worked there for 3+ hours. Just dress and act like you belong there.                                                                                                                                                                              +|                   | 
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | Nearby - there are public tables in the Ferry Building in front of Cholita Linda. If the weather is nice, there are lovely tables with umbrellas out back.                                                                                                                                                     +|                   | 
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | If you wan...                                                                                                                                                                                                                                                                                                   |                   | 
 mdavb53 | Places to study AND avoid home?                                           | If you/you're family are low income (e.g. SNAP/EBT card, Medi-Cal, etc) SF MoMA and other 'big' museums are free. There's some some great spots to read a book. They all have SF free days for residents/students, but those tend to be busier days, naturally.                                                +| 0.784398857498463 | basic
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | I second the 'POPS' suggests. In SOMA/FiDi...                                                                                                                                                                                                                                                                   |                   | 
 mdfmt9r | Places to study AND avoid home?                                           | Salesforce Park is a solid pick, plus you get nature vibes without freezing your toes off.                                                                                                                                                                                                                      | 0.776773443183865 | context_enhanced
 mcem9zj | ISO other fellow millennial DINKs?                                        | All my friends who don’t have kids go out to shows / nightlife / clubs.  May not be your every week activity but it’s a great way to run into other people in your boat.                                                                                                                                       +| 0.768634473573759 | basic
         |                                                                           | Volunteering was also mentioned, and it’s a great one. If you are into the outdoors Sutro Stewards is awesome, and a lot of socia...                                                                                                                                                                            |                   | 
 mdyieb4 | What are some unique bars/clubs to San Francisco? What makes them unique? | You can make a night out of bar hopping in north beach. Comstock, Vesuvio, Maggie Garry’s. You can grab a slice of pizza to soak it all up after.                                                                                                                                                              +| 0.768461484335975 | context_enhanced
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | Worth noting I don’t love Maggie’s at night. But if you’re into the day drinking, they allow outside food. Grab some food and sit by their open window a...                                                                                                                                                     |                   | 
 mbs4r8p | Do people use the Dolores park pissoir                                    | San Francisco is truly a magical place.                                                                                                                                                                                                                                                                        +| 0.766896661067827 | context_enhanced
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | I've been posting to [@bathrooms_of_sf](https://www.instagram.com/bathrooms_of_sf/) since 2015 and I'm still discovering amazing new relief stations 10 years later. 🚽❤️                                                                                                                                         |                   | 
(10 rows)

